name;email;password;dni;role
Timothy;andrew74@gmail.com;123456;4450763u;user
Courtney;zvaldez@henry.com;123456;6311471v;user
Amanda;andersonamber@taylor.com;123456;8409762N;user
Joseph;carriesmith@wilson.com;123456;5875538P;user
James;bburke@hotmail.com;123456;4758693m;user
William;tiffanywood@johnson-johnson.com;123456;9622132O;user
Jared;villegasalexis@yahoo.com;123456;1492432h;user
Charles;baileyhill@oliver-fowler.com;123456;2659507h;user
Lisa;croberts@yahoo.com;123456;1147344P;user
Marc;brownlance@chavez.com;123456;6752517T;user
Ronald;ynewton@hotmail.com;123456;8621393Q;user
Lisa;denise42@gmail.com;123456;1905045l;user
Jimmy;delgadolisa@young.com;123456;6670280n;user
Shelby;zwhite@yahoo.com;123456;3202953c;user
Joshua;jessicavasquez@gmail.com;123456;4743112n;user
Nathaniel;zchase@hotmail.com;123456;1071212o;user
Jacqueline;barkersamantha@smith-mason.net;123456;6266142x;user
Molly;dylanpatrick@gmail.com;123456;9888565v;user
Kelsey;noah14@ryan.com;123456;4429867S;user
Jeffrey;oconnormary@yahoo.com;123456;4023971U;user
